Provider ID,City,State,ZIP Code,County Name,Phone Number,Condition,Measure ID,Label
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,EDV,
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,ED_1b,
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,ED_2b,
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Preventive Care,IMM_2,
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Preventive Care,IMM_3_OP_27_FAC_ADHPCT,
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,OP_18b,
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,OP_18c,
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Attack or Chest Pain,OP_2,
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,OP_22,
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,OP_23,
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Colonoscopy care,OP_29,
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Colonoscopy care,OP_30,
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Cataract surgery outcome,OP_31,
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Cancer care,OP_33,
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Attack or Chest Pain,OP_3b,
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Attack or Chest Pain,OP_5,
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Pregnancy and Delivery Care,PC_01,
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Sepsis Care,SEP_1,
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Blood Clot Prevention and Treatment,VTE_6,
10005,BOAZ,AL,35957,MARSHALL,2565938310,Emergency Department,EDV,
10005,BOAZ,AL,35957,MARSHALL,2565938310,Emergency Department,ED_1b,
10005,BOAZ,AL,35957,MARSHALL,2565938310,Emergency Department,ED_2b,
10005,BOAZ,AL,35957,MARSHALL,2565938310,Preventive Care,IMM_2,
10005,BOAZ,AL,35957,MARSHALL,2565938310,Preventive Care,IMM_3_OP_27_FAC_ADHPCT,
10005,BOAZ,AL,35957,MARSHALL,2565938310,Emergency Department,OP_18b,
